id,clave,descripcion,descripcion_jde,alias,created_date,updated_date,created_by_id,updated_by_id
1,00001,"SISTEMAS INTEGRALES COMPRESION","SISTEMAS INTEGRALES DE COMPRESION",,"2017-05-09 14:32:48.571741","2017-05-09 14:32:48.571846",1,1
2,00002,"PART TECHNICAL SERVICES","PART TECHNICAL SERVICES",,"2017-05-09 14:48:58.825890","2017-05-09 14:48:58.825998",1,1
3,00007,SINEA,"SINEA SA DE CV",,"2017-05-09 14:53:43.213812","2017-05-09 14:53:43.213919",1,1
4,00008,"RANCHO LA SUPREMA EXCELENCIA","RANCHO SUP EXCELENCIA SPR DE RL",,"2017-05-09 14:52:03.870625","2017-05-09 14:52:03.870733",1,1
5,00010,"GRUPO EXSEN","GRUPO EXSEN SA DE CV",,"2017-05-09 14:50:48.178382","2017-05-09 14:50:48.178489",1,1
6,00012,TINGLO,"TINGLO SA DE CV",,"2017-05-09 14:51:18.609473","2017-05-09 14:51:18.609596",1,1
7,00016,"H3A1 SA DE CV","H3A1 SA DE CV",,"2017-05-09 14:53:13.275167","2017-05-09 14:53:13.275290",1,1
8,00018,"GEOLIS SA DE CV","GEOLIS SA DE CV",,"2017-05-09 14:57:23.054004","2017-05-09 14:57:23.054109",1,1
9,00019,"CONSORCIO PETROLERO 5M","CONSORCIO PETROLERO 5M SAPI DE CV",,"2017-05-09 14:52:38.290939","2017-05-09 14:52:38.291044",1,1
10,00020,"NUVOIL SA DE CV","NUVOIL SA DE CV",,"2017-05-09 14:56:42.894407","2017-05-09 14:56:42.894515",1,1
